country,code, gni , skulspend , death , healthexp , unemp , water , skul ,maternal
Trinidad and Tobago,TTO," 13,830 ", 4.10 , 7.90 ," 1,030.71 ", 4.21 , 98.88 ,,27
Tunisia,TUN," 3,220 ",, 6.75 , 221.68 , 16.37 , 97.54 ,,37
Turkiye,TUR," 9,080 ", 3.36 , 6.38 , 395.24 , 13.11 , 97.01 , 104.41 ,17
Turkmenistan,TKM,,, 6.84 , 483.74 , 4.80 , 100.00 , 93.27 ,5
Turks and Caicos Islands,TCA," 20,270 ", 3.27 , 8.82 ,,,, 76.46 ,
Tuvalu,TUV," 6,470 ",, 10.19 ," 1,071.31 ",, 100.00 , 62.59 ,
Uganda,UGA, 820 , 2.59 , 5.85 , 33.90 , 4.51 , 55.86 ,,284
Ukraine,UKR," 3,570 ", 5.38 , 15.90 , 269.73 , 9.48 , 93.93 ,,17
United Arab Emirates,ARE," 41,600 ", 3.88 , 1.77 ," 2,191.81 ", 4.29 , 99.97 , 103.37 ,9
United Kingdom,GBR," 38,590 ", 5.53 , 10.10 ," 4,926.63 ", 4.47 , 100.00 , 116.88 ,10
United States,USA," 64,650 ", 6.05 , 10.30 ," 11,702.41 ", 8.05 , 99.88 , 100.51 ,21
Uruguay,URY," 16,080 ", 4.55 , 9.43 ," 1,429.51 ", 10.33 , 99.50 , 119.94 ,19
Uzbekistan,UZB," 1,770 ", 4.92 , 5.10 , 120.50 , 5.29 , 97.83 , 92.97 ,30
Vanuatu,VUT," 3,250 ", 2.24 , 5.49 , 114.23 , 2.02 , 91.23 , 51.64 ,94
"Venezuela, RB",VEN,,, 7.58 , 142.46 , 7.53 , 93.69 ,,259
Vietnam,VNM," 3,450 ", 4.11 , 6.17 , 166.23 , 2.10 , 96.88 ,,124
Virgin Islands (U.S.),VIR,,, 8.40 ,, 13.26 , 98.72 ,,
West Bank and Gaza,PSE," 3,700 ",, 3.49 ,, 25.89 , 97.88 , 91.03 ,20
"Yemen, Rep.",YEM,,, 6.51 ,, 13.58 , 60.66 ,,183
Zambia,ZMB," 1,130 ", 3.70 , 6.60 , 53.75 , 6.03 , 65.41 ,,135
Zimbabwe,ZWE," 1,460 ",, 8.13 , 50.68 , 7.90 , 62.67 ,,357
,,,,,,,,,
